index,comment,usyk_sentiment,fury_sentiment
0,this is gon na be a banger the size difference concern me a little but i think what usyk lack in height he make up with fierce spirit curious about what form fury will be in,positive,neutral
1,i can already hear the excuse from fury and his fan if he loses to usyk,neutral,negative
2,i know usyk is ukrainian but i just want to say he fit the bill thats the most ancient slavic looking mf ive ever seen dude look like he just walked out of a russian time machine from the early s,positive,neutral
3,this is just a temporary bluff to take the heat off of fury and up the number of ppv sale for the ngannou fight they will find some excuse to not fight usyk afterwards,neutral,negative
4,im gointo go for usyk on point or late stoppage but i couod see fury spoilin the fight if he got the ball to step in there in the first place,positive,negative
5,usyk get tired in the clinch joshua is the only one of the current big that make usyk look good tyson and wilder go through him,negative,positive
6,usyk feel him out for first round then start floating like a butterfly stinging like a bee and the rest is history tyson loss,positive,negative
7,if someone could explain to me how fury can even hit usyk never mind beatko him id be pleased to hear it usyk will win on point or via late stoppage having targeted fury flabby body should the fight occur of course,positive,negative
8,i wonder if usyk purposefully looked sluggish v dubois to reel fury in for the undisputed,neutral,neutral
9,im a big usyk fan but it fury here this time he just too much,neutral,positive
10,this fight isnt happening fury will retire have an injury or start waffling the money not right then blame usyk for being a big dosser guy the biggest clown in boxing,neutral,negative
11,one thing we can say for sure is usyk isnt afraid of fury not shaken in the least and will fight him unaffected by too much respect and level of star that fury is you could see how whyte viewed fury by the way he fought him usyk wont make that mistake,positive,neutral
12,usyk didnt move much in the daniel duquitter fight because the ring wa soaking wet you could easily hear itsqueak squeak,neutral,neutral
13,fury is unlikely to get through ngannou anyway i wouldnt spend too much time thinking about usyk,neutral,negative
14,fury struggle against southpaw around cm smaller than him im backing usyk,positive,negative
15,usyk got done by dubois it an easy win for fury,negative,positive
16,when it come to skill usyk is mile ahead in every way so fury gameplan ha to be to charge in there and ko him could go either way but fury fan thinking that it would be easy is the dumbest thing ive heard fury fan are some of the dumbest people in existence,positive,negative
